Index,emotion
0,affectionate
1,compassionate
2,friendly
3,loving
4,open-hearted
6,sympathetic
7,tender
8,warm
9,engaged
10,absorbed
11,alert
12,curious
13,engrossed
14,enchanted
15,entranced
16,fascinated
17,interested
18,intrigued
19,involved
20,spellbound
21,stimulated
22,hopeful
23,expectant
24,encouraged
25,optimistic
26,confident
27,empowered
28,open
29,proud
30,safe
31,secure
32,excited
33,amazed
34,animated
35,ardent
36,aroused
37,astonished
38,dazzled
39,eager
40,energetic
41,enthusiastic
42,giddy
43,invigorated
44,lively
45,passionate
46,surprised
47,vibrant
48,grateful
49,appreciative
50,moved
51,thankful
52,touched
53,inspired
54,amazed
55,awed
56,wonder
57,joyful
58,amused
59,delighted
60,glad
61,happy
62,jubilant
63,pleased
64,tickled
65,exhilarated
66,blissful
67,ecstatic
68,elated
69,enthralled
70,exuberant
71,radiant
72,rapturous
73,thrilled
74,peaceful
75,calm
76,clear
77,clear-headed
78,comfortable
79,centered
80,content
81,equanimous
82,fulfilled
83,mellow
84,quiet
85,relaxed
86,relieved
87,satisfied
88,serene
89,still
90,tranquil
91,trusting
92,refreshed
93,enlivened
94,rejuvenated
95,renewed
96,rested
97,restored
98,revived
99,afraid
100,apprehensive
101,dread
102,foreboding
103,frightened
104,mistrustful
105,panicked
106,petrified
107,scared
108,suspicious
109,terrified
110,wary
111,worried
112,annoyed
113,aggravated
114,dismayed
115,disgruntled
116,displeased
117,exasperated
118,frustrated
119,impatient
120,irritated
121,irked
122,angry
123,enraged
124,furious
125,incensed
126,indignant
127,irate
128,livid
129,outraged
130,resentful
131,aversion
132,animosity
133,appalled
134,contempt
135,disgusted
136,dislike
137,hate
138,horrified
139,hostile
140,repulsed
141,confused
142,ambivalent
143,baffled
144,bewildered
145,dazed
146,hesitant
147,lost
148,mystified
149,perplexed
150,puzzled
151,torn
152,disconnected
153,alienated
154,aloof
155,apathetic
156,bored
157,cold
158,detached
159,distant
160,distracted
161,indifferent
162,numb
163,removed
164,uninterested
165,withdrawn
166,disquiet
167,agitated
168,alarmed
169,discombobulated
170,disconcerted
171,disturbed
172,perturbed
173,rattled
174,restless
175,shocked
176,startled
177,surprised
178,troubled
179,turbulent
180,turmoil
181,uncomfortable
182,uneasy
183,unnerved
184,unsettled
185,upset
186,embarrassed
187,ashamed
188,chagrined
189,flustered
190,guilty
191,mortified
192,self?conscious
193,fatigue
194,beat
195,burnt
196,out
197,depleted
198,exhausted
199,lethargic
200,listless
201,sleepy
202,tired
203,weary
204,worn
205,out
206,pain
207,agony
208,anguished
209,bereaved
210,devastated
211,grief
212,heartbroken
213,hurt
214,lonely
215,miserable
216,regretful
217,remorseful
218,sad
219,depressed
220,dejected
221,despair
222,despondent
223,disappointed
224,discouraged
225,disheartened
226,forlorn
227,gloomy
228,heavy
229,hearted
230,hopeless
231,melancholy
232,unhappy
233,wretched
234,tense
235,anxious
236,cranky
237,distressed
238,distraught
239,edgy
240,fidgety
241,frazzled
242,irritable
243,jittery
244,nervous
245,overwhelmed
246,restless
247,stressed
248,out
249,vulnerable
250,fragile
251,guarded
252,helpless
253,insecure
254,leery
255,reserved
256,sensitive
257,shaky
258,yearning
259,envious
260,jealous
261,longing
262,nostalgic
263,pining
264,wistful